"Date","Hour","Route ID","Direction","Stop ID","Stop Sequence","Boardings","Alightings","Trips"
"2024-10-15","2024-10-15 04:00:00 PM","BX19","S","103640","1","5","0","3"
"2024-10-15","2024-10-15 02:00:00 PM","B46","S","307919","1","36","1","3"
"2024-10-15","2024-10-15 11:00:00 AM","B46","S","307919","1","15","0","2"
"2024-10-15","2024-10-15 10:00:00 PM","Q58","W","503501","1","90","1","6"
"2024-10-15","2024-10-15 05:00:00 AM","B35","W","301052","1","3","0","1"
"2024-10-15","2024-10-15 02:00:00 PM","B46","N","307920","1","49","0","4"
"2024-10-15","2024-10-15 02:00:00 PM","B46","N","307775","1","27","8","1"
"2024-10-15","2024-10-15 03:00:00 AM","B35","W","301052","1","1","0","1"
"2024-10-15","2024-10-15 11:00:00 AM","S53","W","905059","1","5","1","1"
"2024-10-15","2024-10-15 01:00:00 PM","Q58","W","503501","1","169","8","7"
"2024-10-15","2024-10-15 11:00:00 AM","S79+","N","805189","1","16","0","5"
"2024-10-15","2024-10-15 01:00:00 PM","Q58","E","308488","1","70","5","7"
"2024-10-15","2024-10-15 02:00:00 AM","B46","S","307919","1","2","0","1"
"2024-10-15","2024-10-15 11:00:00 PM","Q58","E","308488","1","8","0","1"
"2024-10-15","2024-10-15 03:00:00 AM","B35","E","308194","1","0","1","1"
"2024-10-15","2024-10-15 02:00:00 AM","S53","W","905059","1","4","0","1"
"2024-10-15","2024-10-15 09:00:00 PM","S53","E","202740","1","2","0","1"
"2024-10-15","2024-10-15 01:00:00 PM","BX19","S","103640","1","1","0","1"
"2024-10-15","2024-10-15 11:00:00 AM","S79+","S","901226","1","73","2","5"
"2024-10-15","2024-10-15 02:00:00 AM","S53","E","202740","1","2","0","1"
"2024-10-15","2024-10-15 12:00:00 PM","M15","N","803019","1","1","0","1"
"2024-10-15","2024-10-15 12:00:00 PM","Q58","E","308488","1","61","4","6"
"2024-10-15","2024-10-15 12:00:00 AM","B46","S","307919","1","7","2","3"
"2024-10-15","2024-10-15 01:00:00 PM","B35","W","301052","1","23","0","3"
"2024-10-15","2024-10-15 02:00:00 AM","Q58","W","503501","1","7","0","1"
"2024-10-15","2024-10-15 12:00:00 PM","Q58","W","503501","1","111","1","4"
"2024-10-15","2024-10-15 01:00:00 PM","B35","E","302692","1","29","0","3"
"2024-10-15","2024-10-15 01:00:00 PM","B35","E","308194","1","1","0","1"
"2024-10-15","2024-10-15 02:00:00 AM","Q58","E","308488","1","4","0","1"
"2024-10-15","2024-10-15 06:00:00 AM","B46","S","307919","1","3","0","3"
"2024-10-15","2024-10-15 06:00:00 AM","BX19","N","403681","1","0","3","1"
"2024-10-15","2024-10-15 06:00:00 AM","BX19","N","103748","1","3","0","1"
"2024-10-15","2024-10-15 06:00:00 AM","BX19","N","101335","1","2","0","1"
"2024-10-15","2024-10-15 09:00:00 PM","B46","S","307026","1","5","0","1"
