"Valid From","Valid To","In Effect","Route ID","Route Long Name","Stop ID","Stop Name","Direction","Latitude","Longitude","Route Color"
"09/01/2024","12/01/2024","false","B46","Kings Plaza - Williamsburg","303697","UTICA AV/AVENUE I","S","40.630083","-73.928188","6CBE45"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","402854","3 AV/E 23 ST","S","40.738982","-73.983129","FAA61A"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","401756","2 AV/E 78 ST","S","40.772922","-73.955434","006CB7"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","404321","LEXINGTON AV/E 83 ST","S","40.777227","-73.957311","FAA61A"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","403849","ALLEN ST/EAST HOUSTON ST","S","40.722516","-73.98899","006CB7"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","401747","2 AV/E 101 ST","S","40.787352","-73.944893","006CB7"
"09/01/2024","12/01/2024","false","B35","Brownsville - Sunset Park","302768","CHURCH AV/E 3 ST","W","40.643558","-73.977836","EE352E"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","404850","PEARL ST/FULTON ST","N","40.70755","-74.003857","006CB7"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","401768","2 AV/E 50 ST","S","40.754623","-73.968787","006CB7"
"09/01/2024","12/01/2024","false","B46","Kings Plaza - Williamsburg","303591","UTICA AV/AVENUE O","N","40.616498","-73.926509","6CBE45"
"09/01/2024","12/01/2024","false","B46","Kings Plaza - Williamsburg","901086","WILLIAMSBURG BRIDGE PLAZA/LANE 4","N","40.709424","-73.959608","6CBE45"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","402748","AMSTERDAM AV/W 187 ST","N","40.852204","-73.927829","FAA61A"
"09/01/2024","12/01/2024","false","B35","Brownsville - Sunset Park","308230","E 98 ST/HEGEMAN AV","E","40.655642","-73.912518","EE352E"
"09/01/2024","12/01/2024","false","BX19","NY Botanical Garden - Riverbank Park","403687","W 145 ST/ADAM C POWELL BLVD","N","40.821648","-73.939352","B933AD"
"09/01/2024","12/01/2024","false","B46","Kings Plaza - Williamsburg","307728","MALCOLM X BLVD/HALSEY ST","S","40.683867","-73.929334","6CBE45"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","402634","3 AV/E 31 ST","N","40.743707","-73.979544","FAA61A"
"09/01/2024","12/01/2024","false","BX19","NY Botanical Garden - Riverbank Park","403693","W 145 ST/SAINT NICHOLAS AV","S","40.82403","-73.944516","B933AD"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","401725","1 AV/E 111 ST","N","40.793101","-73.937481","006CB7"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","402088","MADISON ST/OLIVER ST","N","40.711877","-73.997922","006CB7"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","401669","PEARL ST/PECK SLIP","N","40.708968","-74.002171","006CB7"
"09/01/2024","12/01/2024","false","B46","Kings Plaza - Williamsburg","303609","UTICA AV/LINDEN BLVD","N","40.65417","-73.930519","6CBE45"
"09/01/2024","12/01/2024","false","B35","Brownsville - Sunset Park","302692","CHURCH AV/McDONALD AV","E","40.64265","-73.979587","EE352E"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","903275","1 AV/E 97 ST","N","40.783781","-73.944277","006CB7"
"09/01/2024","12/01/2024","false","B35","Brownsville - Sunset Park","302742","CHURCH AV/KINGS HWY","W","40.652581","-73.923403","EE352E"
"09/01/2024","12/01/2024","false","BX12","Pelham Bay - Inwood","104080","EAST FORDHAM RD/CAMBRELENG AV","E","40.857651","-73.882903","006CB7"
"09/01/2024","12/01/2024","false","B46","Kings Plaza - Williamsburg","303665","MALCOLM X BLVD/GREENE AV","S","40.690434","-73.930636","6CBE45"
"09/01/2024","12/01/2024","false","BX19","NY Botanical Garden - Riverbank Park","101358","SOUTHERN BLVD/E 167 ST","S","40.826905","-73.891991","B933AD"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","402644","AMSTERDAM AV/W 145 ST","S","40.824949","-73.947888","FAA61A"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","402646","AMSTERDAM AV/W 140 ST","S","40.821716","-73.950244","FAA61A"
"09/01/2024","12/01/2024","false","B46","Kings Plaza - Williamsburg","308800","UTICA AV/CHURCH AV","S","40.650968","-73.930412","6CBE45"
"09/01/2024","12/01/2024","false","BX19","NY Botanical Garden - Riverbank Park","101327","SOUTHERN BLVD/E 167 ST","N","40.827187","-73.891876","B933AD"
"09/01/2024","12/01/2024","false","BX12","Pelham Bay - Inwood","101739","BARTOW AV/CO-OP CITY BLVD","W","40.869598","-73.828714","006CB7"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","403417","LEXINGTON AV/E 106 ST","S","40.791892","-73.946585","FAA61A"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","401444","AMSTERDAM AV/W 125 ST","N","40.813745","-73.955868","FAA61A"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","405154","ASTOR PL/COOPER SQ EAST","N","40.729574","-73.99004","FAA61A"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","401761","2 AV/E 68 ST","S","40.76599","-73.960476","006CB7"
"09/01/2024","12/01/2024","false","BX12","Pelham Bay - Inwood","100304","PELHAM PKWY/EASTCHESTER RD","W","40.857836","-73.844305","006CB7"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","401696","1 AV/E 36 ST","N","40.745324","-73.972349","006CB7"
"09/01/2024","12/01/2024","false","B46","Kings Plaza - Williamsburg","303666","MALCOLM X BLVD/QUINCY ST","S","40.688948","-73.930342","6CBE45"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","401779","2 AV/E 23 ST","S","40.737516","-73.981202","006CB7"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","402773","AMSTERDAM AV/W 170 ST","S","40.840658","-73.936399","FAA61A"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","401973","LEXINGTON AV/E 104 ST","S","40.79057","-73.947556","FAA61A"
"09/01/2024","12/01/2024","false","BX19","NY Botanical Garden - Riverbank Park","803194","RIVERBANK STATE PARK RDWY/RIVERBANK STATE PARK","S","40.826815","-73.955386","B933AD"
"09/01/2024","12/01/2024","false","B35","Brownsville - Sunset Park","306874","CHURCH AV/STORY ST","W","40.641969","-73.981612","EE352E"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","404844","PIKE ST/MADISON ST","S","40.712625","-73.992622","006CB7"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","402687","3 AV/E 65 ST","N","40.765599","-73.963509","FAA61A"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","401448","AMSTERDAM AV/W 133 ST","N","40.81785","-73.952922","FAA61A"
"09/01/2024","12/01/2024","false","B46","Kings Plaza - Williamsburg","303691","UTICA AV/CLARENDON RD","S","40.644096","-73.929686","6CBE45"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","405076","AMSTERDAM AV/W 167 ST","N","40.839672","-73.93697","FAA61A"
"09/01/2024","12/01/2024","false","B35","Brownsville - Sunset Park","302764","CHURCH AV/WESTMINSTER RD","W","40.647267","-73.968782","EE352E"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","405057","LEXINGTON AV/E 119 ST","S","40.800189","-73.94052","FAA61A"
"09/01/2024","12/01/2024","false","BX12","Pelham Bay - Inwood","150119","SEDGWICK AV/WEBB AV","W","40.863445","-73.90902","006CB7"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","405138","1 AV/E 60 ST","N","40.759751","-73.961795","006CB7"
"09/01/2024","12/01/2024","false","BX12","Pelham Bay - Inwood","100636","EAST FORDHAM RD/BATHGATE AV","E","40.859601","-73.887654","006CB7"
"09/01/2024","12/01/2024","false","B35","Brownsville - Sunset Park","307581","CHURCH AV/E 5 ST","E","40.644458","-73.975219","EE352E"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","903297","BROAD ST/SOUTH ST","S","40.701875","-74.011222","006CB7"
"09/01/2024","12/01/2024","false","M101","East Village - Fort George","402678","3 AV/E 39 ST","N","40.749101","-73.975585","FAA61A"
"09/01/2024","12/01/2024","false","B46","Kings Plaza - Williamsburg","303626","MALCOLM X BLVD/PUTNAM AV","N","40.686684","-73.929724","6CBE45"
"09/01/2024","12/01/2024","false","B46","Kings Plaza - Williamsburg","303154","BROADWAY/WILLOUGHBY AV","N","40.696002","-73.933414","6CBE45"
"09/01/2024","12/01/2024","false","M15","East Harlem - South Ferry","401708","1 AV/E 70 ST","N","40.766741","-73.956738","006CB7"
"09/01/2024","12/01/2024","false","B35","Brownsville - Sunset Park","301132","HEGEMAN AV/ROCKAWAY AV","E","40.65628","-73.906863","EE352E"
