Rute ID,APR Profil,Week Profil,Transportform (profile > profile),problem_type,Type,Antal enheder (len(R_original)),Number,Significant Outliers,Length Org,Length Opt,Contribution Margin (Org),Contribution Margin (Opt),Revenue (Org),Revenue (Opt),Cost (Org),Cost (Opt),Set of Significant Outliers
37000001,O18 Omdeler,Gns. Oms,foot,TSP,Type 1,152,"39, 40, 41, 57",4,6073.600000000001,5340.699999999997,728.2347599999997,735.1716199999998,900.4800000000007,886.6100000000006,172.51999999999998,151.70999999999995,"[39, 40, 41, 57]"
37000001,O18 Omdeler,Gns. Oms,foot,TSP,Type 2,152,"39, 41",2,4935.599999999998,4450.299999999999,760.5539599999998,766.7089799999999,900.4800000000006,892.8600000000006,140.18,126.40000000000002,"[39, 41]"
37000001,O18 Omdeler,U36,foot,TSP,Type 1,152,"41, 57, 61, 62",4,6073.600000000001,5315.699999999998,749.2597599999999,755.6541199999999,921.7499999999991,906.6199999999991,172.51999999999998,151.00999999999996,"[41, 57, 61, 62]"
37000001,O18 Omdeler,U36,foot,TSP,Type 2,152,"39, 41",2,4935.599999999998,4450.299999999999,781.57896,786.8214799999998,921.7499999999991,913.2099999999991,140.18,126.40000000000002,"[39, 41]"
37000001,O18 Omdeler,U37,foot,TSP,Type 1,152,"41, 57, 61, 62",4,6073.600000000001,5315.699999999998,567.0297599999999,577.1941200000001,739.52,728.1599999999999,172.51999999999998,151.00999999999996,"[41, 57, 61, 62]"
37000001,O18 Omdeler,U37,foot,TSP,Type 2,152,"41, 61, 62",3,4935.599999999998,4251.499999999998,599.34896,607.4174,739.5199999999996,728.1599999999996,140.18,120.77000000000002,"[41, 61, 62]"
37000001,O18 Omdeler,U38,foot,TSP,Type 1,152,"39, 40, 41, 56, 57, 58, 59",7,6073.600000000001,5060.699999999997,673.9297599999999,683.8861199999999,846.4200000000002,827.6100000000001,172.51999999999998,143.75999999999996,"[39, 40, 41, 56, 57, 58, 59]"
37000001,O18 Omdeler,U38,foot,TSP,Type 2,152,"56, 57, 58, 59",4,4935.599999999998,4408.599999999997,706.24896,714.14576,846.42,839.3500000000003,140.18,125.25000000000003,"[56, 57, 58, 59]"
37000001,O18 Omdeler,U39,foot,TSP,Type 1,152,"39, 40, 41, 84",4,6073.600000000001,5368.299999999998,922.71976,928.5202800000001,1095.21,1080.9800000000002,172.51999999999998,152.48999999999995,"[39, 40, 41, 84]"
37000001,O18 Omdeler,U39,foot,TSP,Type 2,152,"39, 41",2,4935.599999999998,4450.299999999999,955.0389600000001,960.7614799999999,1095.21,1087.15,140.18,126.40000000000002,"[39, 41]"
37000001,SE Omdeler,Gns. Oms,foot,TSP,Type 1,152,"39, 40, 41, 56, 57, 58, 61, 62",8,6073.600000000001,4889.899999999997,569.1064399999998,600.3714600000002,900.4800000000007,867.1300000000006,331.57,266.93999999999994,"[39, 40, 41, 56, 57, 58, 61, 62]"
37000001,SE Omdeler,Gns. Oms,foot,TSP,Type 2,152,"41, 61, 62",3,4935.599999999998,4251.499999999998,631.2412399999998,654.7731,900.4800000000006,886.6700000000006,269.45,232.08000000000004,"[41, 61, 62]"
37000001,SE Omdeler,U36,foot,TSP,Type 1,152,"39, 40, 41, 56, 57, 58, 61, 62",8,6073.600000000001,4889.899999999997,590.1314399999999,623.3214600000001,921.7499999999991,890.3099999999991,331.57,266.93999999999994,"[39, 40, 41, 56, 57, 58, 61, 62]"
37000001,SE Omdeler,U36,foot,TSP,Type 2,152,"41, 61, 62",3,4935.599999999998,4251.499999999998,652.2662400000002,674.4881,921.7499999999991,906.6199999999991,269.45,232.08000000000004,"[41, 61, 62]"
37000001,SE Omdeler,U37,foot,TSP,Type 1,152,"39, 40, 41, 60, 61, 62",6,6073.600000000001,5021.599999999998,407.9014399999999,441.90064000000007,739.52,716.0799999999998,331.57,274.12999999999994,"[39, 40, 41, 60, 61, 62]"
37000001,SE Omdeler,U37,foot,TSP,Type 2,152,"41, 61, 62",3,4935.599999999998,4251.499999999998,470.0362400000001,496.02810000000005,739.5199999999996,728.1599999999996,269.45,232.08000000000004,"[41, 61, 62]"
37000001,SE Omdeler,U38,foot,TSP,Type 1,152,"39, 40, 41, 56, 57, 58, 61, 62",8,6073.600000000001,4889.899999999997,514.80144,554.2114600000002,846.4200000000002,821.2000000000002,331.57,266.93999999999994,"[39, 40, 41, 56, 57, 58, 61, 62]"
37000001,SE Omdeler,U38,foot,TSP,Type 2,152,"39, 40, 41",3,4935.599999999998,4276.599999999999,576.93624,601.1776399999998,846.42,834.68,269.45,233.46000000000006,"[39, 40, 41]"
37000001,SE Omdeler,U39,foot,TSP,Type 1,152,"39, 40, 41, 61, 62",5,6073.600000000001,5138.399999999998,763.5914399999999,792.11336,1095.21,1072.67,331.57,280.5099999999999,"[39, 40, 41, 61, 62]"
37000001,SE Omdeler,U39,foot,TSP,Type 2,152,"39, 40, 41",3,4935.599999999998,4276.599999999999,825.7262400000002,847.9676399999998,1095.21,1081.47,269.45,233.46000000000006,"[39, 40, 41]"
37000001,U18 Omdeler,Gns. Oms,foot,TSP,Type 1,152,41,1,6073.600000000001,5665.799999999999,778.7063759999998,780.7140779999999,900.4800000000007,894.3000000000006,121.94000000000004,113.74000000000004,[41]
37000001,U18 Omdeler,Gns. Oms,foot,TSP,Type 2,152,"39, 41",2,4935.599999999998,4450.299999999999,801.5687959999998,803.6909729999999,900.4800000000006,892.8600000000006,99.01999999999997,89.26999999999997,"[39, 41]"
37000001,U18 Omdeler,U36,foot,TSP,Type 1,152,57,1,6073.600000000001,5999.700000000002,799.731376,801.2160269999997,921.7499999999991,921.7499999999991,121.94000000000004,120.46000000000004,[57]
37000001,U18 Omdeler,U36,foot,TSP,Type 2,152,57,1,4935.599999999998,4861.699999999997,822.593796,824.0784469999998,921.7499999999991,921.7499999999991,99.01999999999997,97.53999999999996,[57]
37000001,U18 Omdeler,U37,foot,TSP,Type 1,152,"41, 57, 61, 62",4,6073.600000000001,5315.699999999998,617.5013759999999,621.3675870000001,739.52,728.1599999999999,121.94000000000004,106.71000000000005,"[41, 57, 61, 62]"
37000001,U18 Omdeler,U37,foot,TSP,Type 2,152,41,1,4935.599999999998,4527.699999999999,640.363796,643.3585069999999,739.5199999999996,734.3199999999996,99.01999999999997,90.83999999999997,[41]
37000001,U18 Omdeler,U38,foot,TSP,Type 1,152,"41, 56, 57",3,6073.600000000001,5576.699999999999,724.4013759999999,728.1240969999999,846.4200000000002,840.1600000000002,121.94000000000004,111.95000000000005,"[41, 56, 57]"
37000001,U18 Omdeler,U38,foot,TSP,Type 2,152,"56, 57, 58, 59",4,4935.599999999998,4408.599999999997,747.263796,750.781226,846.42,839.3500000000003,99.01999999999997,88.46000000000004,"[56, 57, 58, 59]"
37000001,U18 Omdeler,U39,foot,TSP,Type 1,152,41,1,6073.600000000001,5665.799999999999,973.191376,974.8740779999998,1095.21,1088.7000000000003,121.94000000000004,113.74000000000004,[41]
37000001,U18 Omdeler,U39,foot,TSP,Type 2,152,"39, 41",2,4935.599999999998,4450.299999999999,996.053796,997.7434729999999,1095.21,1087.15,99.01999999999997,89.26999999999997,"[39, 41]"
37000002,O18 Omdeler,Gns. Oms,foot,TSP,Type 1,177,"113, 114, 115",3,7153.300000000003,5474.1,800.3562799999999,827.5780599999999,1003.400000000001,982.940000000001,203.1499999999999,155.44999999999996,"[113, 114, 115]"
37000002,O18 Omdeler,Gns. Oms,foot,TSP,Type 2,177,"113, 114, 115",3,5152.4000000000015,4251.099999999998,857.18184,862.3112600000001,1003.4000000000011,982.9400000000011,146.38999999999993,120.79000000000003,"[113, 114, 115]"
