id;kommune;vejnr;husnr;husbog;husx;husy;vejx;vejy;husGx;husGy;adresse;kf;linienr;beregning;laengde_med_kf;laengde_uden_kf
0;400;2889;3; ;863999;6123323;863994;6123307;14,711;55,1225;Nordskovvej 3;0;0;0;6087;6050
0;400;2889;1; ;863978;6123328;863973;6123314;14,7107;55,1225;Nordskovvej 1;0;1;0;6087;6050
0;400;2889;2;A;863965;6123298;863970;6123315;14,7104;55,1223;Nordskovvej 2A;0;2;0;6087;6050
0;400;2889;2;B;863987;6123294;863991;6123308;14,7108;55,1222;Nordskovvej 2B;0;3;0;6087;6050
0;400;2889;4;A;864018;6123287;864023;6123296;14,7112;55,1221;Nordskovvej 4A;0;4;0;6087;6050
0;400;57;6; ;863980;6123184;863967;6123188;14,7105;55,1212;Allevej 6;0;5;0;6087;6050
0;400;57;8; ;863985;6123199;863972;6123203;14,7106;55,1214;Allevej 8;0;6;0;6087;6050
0;400;57;10; ;863989;6123216;863978;6123219;14,7107;55,1215;Allevej 10;0;7;0;6087;6050
0;400;57;12; ;863994;6123230;863982;6123233;14,7108;55,1216;Allevej 12;0;8;0;6087;6050
0;400;57;14; ;863997;6123244;863987;6123247;14,7108;55,1218;Allevej 14;0;9;0;6087;6050
0;400;57;16; ;864003;6123258;863991;6123261;14,7109;55,1219;Allevej 16;0;10;0;6087;6050
0;400;57;18; ;864010;6123273;863996;6123277;14,7111;55,122;Allevej 18;0;11;0;6087;6050
0;400;57;11; ;863986;6123281;863997;6123277;14,7107;55,1221;Allevej 11;0;12;0;6087;6050
0;400;57;9; ;863980;6123264;863991;6123260;14,7106;55,122;Allevej 9;0;13;0;6087;6050
0;400;57;7; ;863973;6123246;863985;6123241;14,7105;55,1218;Allevej 7;0;14;0;6087;6050
0;400;57;5; ;863966;6123229;863979;6123224;14,7103;55,1217;Allevej 5;0;15;0;6087;6050
0;400;57;3; ;863957;6123209;863972;6123203;14,7102;55,1215;Allevej 3;0;16;0;6087;6050
0;400;57;2;B;863986;6123123;863954;6123152;14,7105;55,1207;Allevej 2B;0;17;0;6087;6050
0;400;57;4;A;863995;6123146;863956;6123159;14,7107;55,1209;Allevej 4A;0;18;0;6087;6050
0;400;57;4; ;863978;6123165;863960;6123171;14,7104;55,1211;Allevej 4;0;19;0;6087;6050
0;400;1782;2; ;863925;6123144;863936;6123140;14,7096;55,1209;JordbÊrdalen 2;0;20;0;6087;6050
0;400;1782;4; ;863912;6123116;863926;6123111;14,7094;55,1207;JordbÊrdalen 4;0;21;0;6087;6050
0;400;1782;11; ;863932;6123071;863936;6123082;14,7096;55,1203;JordbÊrdalen 11;0;22;0;6087;6050
0;400;1782;9; ;863959;6123061;863963;6123073;14,71;55,1202;JordbÊrdalen 9;0;23;0;6087;6050
0;400;1782;7; ;863982;6123057;863974;6123069;14,7104;55,1201;JordbÊrdalen 7;0;24;0;6087;6050
0;400;1782;5; ;863992;6123078;863974;6123069;14,7106;55,1203;JordbÊrdalen 5;0;25;0;6087;6050
0;400;1782;3; ;863964;6123097;863956;6123075;14,7101;55,1205;JordbÊrdalen 3;0;26;0;6087;6050
0;400;1782;8; ;863893;6123052;863905;6123046;14,709;55,1201;JordbÊrdalen 8;0;27;0;6087;6050
0;400;1782;13; ;863918;6123044;863906;6123048;14,7093;55,12;JordbÊrdalen 13;0;28;0;6087;6050
0;400;1782;12; ;863878;6123009;863891;6123012;14,7087;55,1198;JordbÊrdalen 12;0;29;0;6087;6050
0;400;1782;29; ;863907;6123001;863913;6123020;14,7091;55,1197;JordbÊrdalen 29;0;30;0;6087;6050
0;400;1782;27; ;863925;6123001;863929;6123014;14,7094;55,1197;JordbÊrdalen 27;0;31;0;6087;6050
0;400;1782;15; ;863949;6123023;863944;6123009;14,7098;55,1198;JordbÊrdalen 15;0;32;0;6087;6050
0;400;1782;25; ;863944;6122994;863948;6123008;14,7097;55,1196;JordbÊrdalen 25;0;33;0;6087;6050
0;400;1782;23; ;863962;6122984;863968;6123001;14,71;55,1195;JordbÊrdalen 23;0;34;0;6087;6050
0;400;1782;19; ;863997;6123005;863979;6122997;14,7105;55,1196;JordbÊrdalen 19;0;35;0;6087;6050
0;400;1782;17; ;863969;6123014;863965;6123002;14,7101;55,1197;JordbÊrdalen 17;0;36;0;6087;6050
0;400;1782;21; ;863990;6122978;863979;6122997;14,7104;55,1194;JordbÊrdalen 21;0;37;0;6087;6050
0;400;1428;106; ;863848;6123055;863827;6123062;14,7083;55,1202;Haslevej 106;0;38;0;6087;6050
0;400;1428;103; ;863586;6123129;863818;6123041;14,7043;55,121;Haslevej 103;1;39;0;6087;6050
0;400;1428;103;C;863576;6123177;863833;6123079;14,7042;55,1215;Haslevej 103C;0;40;0;6087;6050
0;400;1428;103;D;863590;6123181;863629;6123134;14,7044;55,1215;Haslevej 103D;0;41;0;6087;6050
0;400;1428;110; ;863865;6123087;863839;6123096;14,7086;55,1205;Haslevej 110;0;42;0;6087;6050
0;400;1428;112; ;863871;6123102;863845;6123111;14,7087;55,1206;Haslevej 112;0;43;0;6087;6050
0;400;1428;114; ;863880;6123130;863855;6123139;14,7089;55,1208;Haslevej 114;0;44;0;6087;6050
0;400;1428;126; ;863936;6123278;863904;6123273;14,7099;55,1221;Haslevej 126;0;45;0;6087;6050
0;400;1428;128; ;863939;6123294;863915;6123302;14,71;55,1223;Haslevej 128;0;46;0;6087;6050
0;400;1428;130; ;863939;6123309;863919;6123315;14,71;55,1224;Haslevej 130;0;47;0;6087;6050
0;400;1428;134; ;863961;6123353;863937;6123362;14,7104;55,1228;Haslevej 134;0;48;0;6087;6050
0;400;1428;136; ;863960;6123374;863943;6123380;14,7104;55,123;Haslevej 136;0;49;0;6087;6050
0;400;1428;138;A;863977;6123386;863949;6123396;14,7107;55,1231;Haslevej 138A;0;50;0;6087;6050
0;400;1428;140; ;864000;6123430;863967;6123442;14,7111;55,1234;Haslevej 140;0;51;0;6087;6050
0;400;1428;142; ;864017;6123468;863982;6123482;14,7114;55,1238;Haslevej 142;0;52;0;6087;6050
0;400;69;2; ;864022;6123496;864023;6123519;14,7115;55,124;AlmegÂrdsvej 2;0;53;0;6087;6050
0;400;69;4; ;864045;6123504;864045;6123518;14,7119;55,1241;AlmegÂrdsvej 4;0;54;0;6087;6050
0;400;69;1; ;864042;6123543;864041;6123518;14,7119;55,1244;AlmegÂrdsvej 1;0;55;0;6087;6050
0;400;69;3;A;864413;6123558;864413;6123526;14,7177;55,1243;AlmegÂrdsvej 3A;1;56;0;6087;6050
0;400;69;3;B;864450;6123556;864450;6123527;14,7183;55,1242;AlmegÂrdsvej 3B;0;57;0;6087;6050
0;400;66;1; ;864408;6123501;864420;6123500;14,7176;55,1238;AlmegÂrds Kaserne 1;0;58;0;6087;6050
0;400;69;6; ;864346;6123495;864345;6123525;14,7166;55,1238;AlmegÂrdsvej 6;0;59;0;6087;6050
0;400;2889;10; ;864254;6123116;864261;6123128;14,7147;55,1204;Nordskovvej 10;0;60;0;6087;6050
0;400;2889;16; ;864344;6123059;864352;6123072;14,716;55,1199;Nordskovvej 16;0;61;0;6087;6050
0;400;2889;18; ;864373;6123046;864379;6123056;14,7165;55,1197;Nordskovvej 18;0;62;0;6087;6050
0;400;2889;27; ;864219;6123219;864196;6123186;14,7143;55,1214;Nordskovvej 27;0;63;0;6087;6050
0;400;2889;23; ;864177;6123215;864170;6123204;14,7136;55,1214;Nordskovvej 23;0;64;0;6087;6050
0;400;333;2; ;864141;6123207;864162;6123202;14,713;55,1213;Blykobbevej 2;0;65;0;6087;6050
0;400;333;4; ;864145;6123184;864158;6123181;14,7131;55,1211;Blykobbevej 4;0;66;0;6087;6050
0;400;333;6; ;864144;6123178;864156;6123175;14,713;55,1211;Blykobbevej 6;0;67;0;6087;6050
0;400;333;10; ;864138;6123152;864150;6123149;14,7129;55,1208;Blykobbevej 10;0;68;0;6087;6050
0;400;333;12; ;864134;6123133;864147;6123130;14,7128;55,1207;Blykobbevej 12;0;69;0;6087;6050
0;400;333;14; ;864133;6123126;864145;6123123;14,7128;55,1206;Blykobbevej 14;0;70;0;6087;6050
0;400;333;16; ;864130;6123107;864142;6123104;14,7127;55,1204;Blykobbevej 16;0;71;0;6087;6050
0;400;333;18; ;864129;6123101;864141;6123098;14,7127;55,1204;Blykobbevej 18;0;72;0;6087;6050
0;400;333;20; ;864125;6123079;864137;6123077;14,7126;55,1202;Blykobbevej 20;0;73;0;6087;6050
0;400;333;24; ;864121;6123055;864134;6123053;14,7125;55,12;Blykobbevej 24;0;74;0;6087;6050
0;400;333;26; ;864114;6123036;864132;6123033;14,7124;55,1198;Blykobbevej 26;0;75;0;6087;6050
0;400;333;28; ;864115;6123018;864130;6123016;14,7124;55,1197;Blykobbevej 28;0;76;0;6087;6050
0;400;333;30; ;864115;6122997;864129;6122996;14,7124;55,1195;Blykobbevej 30;0;77;0;6087;6050
0;400;333;34; ;864111;6122951;864126;6122949;14,7122;55,1191;Blykobbevej 34;0;78;0;6087;6050
0;400;333;38; ;864111;6122900;864122;6122899;14,7122;55,1186;Blykobbevej 38;0;79;0;6087;6050
0;400;333;40; ;864105;6122868;864120;6122866;14,712;55,1183;Blykobbevej 40;0;80;0;6087;6050
0;400;333;42; ;864101;6122830;864117;6122828;14,7119;55,118;Blykobbevej 42;0;81;0;6087;6050
0;400;333;44; ;864099;6122810;864116;6122808;14,7119;55,1178;Blykobbevej 44;0;82;0;6087;6050
0;400;333;46; ;864098;6122789;864114;6122787;14,7118;55,1176;Blykobbevej 46;0;83;0;6087;6050
0;400;333;45; ;864121;6122755;864111;6122755;14,7121;55,1173;Blykobbevej 45;0;84;0;6087;6050
0;400;333;43; ;864124;6122778;864113;6122778;14,7122;55,1175;Blykobbevej 43;0;85;0;6087;6050
0;400;333;41;B;864138;6122798;864115;6122799;14,7125;55,1177;Blykobbevej 41B;0;86;0;6087;6050
0;400;333;41;A;864144;6122819;864117;6122821;14,7126;55,1179;Blykobbevej 41A;0;87;0;6087;6050
0;400;333;39; ;864134;6122877;864121;6122877;14,7125;55,1184;Blykobbevej 39;0;88;0;6087;6050
0;400;333;37; ;864137;6122915;864123;6122915;14,7126;55,1187;Blykobbevej 37;0;89;0;6087;6050
0;400;333;35; ;864141;6122933;864124;6122934;14,7127;55,1189;Blykobbevej 35;0;90;0;6087;6050
0;400;333;33; ;864145;6122954;864126;6122955;14,7128;55,1191;Blykobbevej 33;0;91;0;6087;6050
0;400;333;29; ;864142;6122994;864129;6122994;14,7128;55,1194;Blykobbevej 29;0;92;0;6087;6050
0;400;333;23;B;864146;6123047;864133;6123048;14,7129;55,1199;Blykobbevej 23B;0;93;0;6087;6050
0;400;333;23;A;864148;6123060;864135;6123061;14,713;55,12;Blykobbevej 23A;0;94;0;6087;6050
0;400;333;21; ;864151;6123076;864137;6123078;14,713;55,1202;Blykobbevej 21;0;95;0;6087;6050
0;400;333;19; ;864153;6123087;864139;6123089;14,7131;55,1203;Blykobbevej 19;0;96;0;6087;6050
0;400;333;17; ;864155;6123098;864141;6123100;14,7131;55,1203;Blykobbevej 17;0;97;0;6087;6050
0;400;333;13; ;864159;6123118;864145;6123120;14,7132;55,1205;Blykobbevej 13;0;98;0;6087;6050
0;400;333;11; ;864161;6123130;864147;6123132;14,7133;55,1206;Blykobbevej 11;0;99;0;6087;6050
0;400;333;9; ;864164;6123141;864149;6123143;14,7133;55,1207;Blykobbevej 9;0;100;0;6087;6050
0;400;333;7; ;864166;6123152;864152;6123155;14,7134;55,1208;Blykobbevej 7;0;101;0;6087;6050
0;400;333;5; ;864168;6123162;864154;6123165;14,7134;55,1209;Blykobbevej 5;0;102;0;6087;6050
0;400;333;3; ;864171;6123174;864157;6123177;14,7135;55,121;Blykobbevej 3;0;103;0;6087;6050
0;400;2889;21; ;864162;6123225;864155;6123213;14,7134;55,1215;Nordskovvej 21;0;104;0;6087;6050
0;400;2889;19; ;864149;6123233;864141;6123221;14,7132;55,1216;Nordskovvej 19;0;105;0;6087;6050
0;400;2889;17; ;864140;6123251;864126;6123231;14,7131;55,1217;Nordskovvej 17;0;106;0;6087;6050
0;400;2889;13; ;864112;6123281;864093;6123253;14,7127;55,122;Nordskovvej 13;0;107;0;6087;6050
0;400;3498;2; ;864065;6123230;864083;6123227;14,7119;55,1216;Sandflugtsvej 2;0;108;0;6087;6050
0;400;3498;4; ;864062;6123210;864080;6123207;14,7118;55,1214;Sandflugtsvej 4;0;109;0;6087;6050
0;400;3498;6; ;864059;6123192;864078;6123189;14,7117;55,1213;Sandflugtsvej 6;0;110;0;6087;6050
0;400;3498;8; ;864056;6123176;864076;6123173;14,7117;55,1211;Sandflugtsvej 8;0;111;0;6087;6050
0;400;3498;10; ;864053;6123159;864072;6123155;14,7116;55,121;Sandflugtsvej 10;0;112;0;6087;6050
0;400;3498;12; ;864050;6123143;864069;6123139;14,7115;55,1208;Sandflugtsvej 12;0;113;0;6087;6050
0;400;3498;14; ;864048;6123123;864066;6123119;14,7115;55,1207;Sandflugtsvej 14;0;114;0;6087;6050
0;400;3498;16; ;864045;6123089;864061;6123092;14,7114;55,1204;Sandflugtsvej 16;0;115;0;6087;6050
0;400;3498;18; ;864036;6123066;864057;6123062;14,7112;55,1202;Sandflugtsvej 18;0;116;0;6087;6050
0;400;3498;20; ;864038;6123048;864055;6123046;14,7112;55,12;Sandflugtsvej 20;0;117;0;6087;6050
